Data,Show,Evento,Local,ENDEREÇO,GRATUITO,Abertura,INTERNACIONAL,FESTIVAL,ACOMPANHADA,Latitude,Longitude
10/11/2018,Rubel,Casa Natura Musical,Casa Natura Musical,"R. Artur de Azevedo, 2134 - Pinheiros, São Paulo - SP, 05404-005",False,False,False,False,False,-23.5678396,-46.6907636
17/11/2018,Far From Alaska,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",False,False,False,False,False,-23.525321,-46.683325
17/11/2018,Huey,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",False,False,False,False,False,-23.525321,-46.683325
06/12/2018,Zimbra,CCXP,São Paulo Expo,"1,5, Rod. dos Imigrantes - Vila Água Funda, 04329-900",False,False,False,False,False,-23.6247188,-46.628892
15/12/2018,Supercombo,Acadêmicos do Baixo Augusta,Acadêmicos do Baixo Augusta,"R. Rêgo Freitas, 553 - República, São Paulo - SP, 01220-010",True,False,False,False,False,-23.5468822,-46.64651060000001
19/12/2018,Tim Bernardes,Theatro São Pedro,Theatro São Pedro Barra Funda,"R. Barra Funda, 161 - Barra Funda, São Paulo - SP, 01152-000",False,False,False,False,False,-23.5324355,-46.653754
13/01/2019,Tiê,SESC Bom Retiro,SESC Bom Retiro,"Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000",True,False,False,False,False,-23.5310655,-46.6433043
20/01/2019,Tuyo,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",True,False,False,False,False,-23.525321,-46.683325
31/01/2019,Vanguart,Casa Natura Musical,Casa Natura Musical,"R. Artur de Azevedo, 2134 - Pinheiros, São Paulo - SP, 05404-005",False,False,False,False,False,-23.5678396,-46.6907636
10/02/2019,Castello Branco,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",True,False,False,False,False,-23.525321,-46.683325
15/02/2019,Anavitória,Teatro Polytheama,Teatro Polytheama Jundiaí,"R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010",False,False,False,False,False,-23.1923541,-46.8809098
02/03/2019,Liniker e os Caramelows,SESC Belenzinho,SESC Belenzinho,"R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000",False,False,False,False,False,-23.5442271,-46.5846448
14/03/2019,Vivendo do Ócio,Z,Z Carniceria,"Av. Brg. Faria Lima, 724 - Pinheiros, São Paulo - SP, 05426-200",False,False,False,False,False,-23.5651289,-46.6949715
27/03/2019,Maglore,Z,Z Carniceria,"Av. Brg. Faria Lima, 724 - Pinheiros, São Paulo - SP, 05426-200",False,False,False,False,False,-23.5651289,-46.6949715
30/03/2019,Plutão já foi planeta,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",True,False,False,False,False,-23.525321,-46.683325
13/04/2019,Tiê,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",False,False,False,False,False,-23.525321,-46.683325
03/05/2019,Vanguart,SESC Bom Retiro,SESC Bom Retiro,"Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000",False,False,False,False,False,-23.5310655,-46.6433043
10/05/2019,Céu,SESC Avenida Paulista,SESC Avenida Paulista,"Av. Paulista, 119 - Bela Vista, São Paulo - SP, 01311-903",False,False,False,False,False,-23.570617,-46.6454968
12/05/2019,Supercombo,SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",False,False,False,False,False,-23.525321,-46.683325
17/05/2019,O Terno,Audibira,Ibirapuera,"Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050",False,False,False,False,False,-23.5832685,-46.6523542
19/05/2019,Tuyo,Virada Cultural,Av. Cásper Líbero,"Av. Cásper Líbero, 598-678 - Centro Histórico de São Paulo, São Paulo - SP, 01033-001",True,False,False,True,False,-23.5361813,-46.6352818
31/05/2019,Duda Beat,SESC Belenzinho,SESC Belenzinho,"R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000",False,False,False,False,False,-23.5442271,-46.5846448
09/06/2019,Lily Allen,Festival Cultura Inglesa,Memorial da América Latina,"Av. Mário de Andrade, 664 - Barra Funda, São Paulo - SP, 01156-001",True,False,True,True,False,-23.5268246,-46.6675749
09/06/2019,Duda Beat,Festival Cultura Inglesa,Memorial da América Latina,"Av. Mário de Andrade, 664 - Barra Funda, São Paulo - SP, 01156-001",True,False,False,True,False,-23.5268246,-46.6675749
09/06/2019,Mad Mothers,Festival Cultura Inglesa,Memorial da América Latina,"Av. Mário de Andrade, 664 - Barra Funda, São Paulo - SP, 01156-001",True,False,False,True,False,-23.5268246,-46.6675749
30/06/2019,Maglore,SESC Vila Mariana,SESC Vila Mariana,"R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000",False,False,False,False,False,-23.5817565,-46.6441764
10/07/2019,"Francisco, el Hombre",SESC Pompeia,SESC Pompeia,"R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000",False,False,False,False,False,-23.525321,-46.683325
