ID_EVENTO;Data;EVENTO;ARTISTAS;Local/Evento;Local;Endereço;Preço;Companhia;Quem foi;Latitude;Longitude
IDE078;10/02/2019;Show: Castello Branco;Castello Branco;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;0;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE079;15/02/2019;Show: Anavitória;Anavitória;Teatro Polytheama;Teatro Polytheama Jundiaí;R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010;70;FALSE;Sozinha;-23.1923946;-46.880882082053100
IDE080;02/03/2019;Show: Liniker e os Caramelows;Liniker e os Caramelows;SESC Belenzinho;SESC Belenzinho;R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000;6;FALSE;Sozinha;-23.544764;-46.5838804
IDE081;14/03/2019;Show: Vivendo do Ócio;Vivendo do Ócio;Z Carniceria;Z Carniceria;Av. Brg. Faria Lima, 724 - Pinheiros, São Paulo - SP, 05426-200;35;FALSE;Sozinha;-23.5651073;-46.6948473
IDE082;27/03/2019;Show: Maglore;Maglore;Z Carniceria;Z Carniceria;Av. Brg. Faria Lima, 724 - Pinheiros, São Paulo - SP, 05426-200;35;FALSE;Sozinha;-23.5651073;-46.6948473
IDE083;30/03/2019;Show: Plutão já foi planeta;Plutão já foi planeta;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;0;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE084;13/04/2019;Show: Tiê;Tiê;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;0;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE085;03/05/2019;Show: Vanguart;Vanguart;SESC Bom Retiro;SESC Bom Retiro;Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;9;FALSE;Sozinha;-23.5310528;-46.64327085
IDE086;10/05/2019;Show: Céu;Céu;SESC Avenida Paulista;SESC Avenida Paulista;Av. Paulista, 119 - Bela Vista, São Paulo - SP, 01311-903;9;FALSE;Sozinha;-23.5694767;-46.6461328
IDE087;12/05/2019;Show: Supercombo;Supercombo;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;0;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE088;17/05/2019;Show: O Terno;O Terno;Auditório Ibirapuera;Auditório Ibirapuera;Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050;18;FALSE;Sozinha;-23.5856655;-46.656533678774000
IDE089;19/05/2019;Show: Virada Cultural 2019;Anelis Assumpção (com Tulipa Ruiz e Negro Léo);Avenida Ipiranga;Avenida Ipiranga;Av. Ipiranga, 200 - Centro Histórico de São Paulo, São Paulo - SP, 01046-010;0;TRUE;Rafaella;-23.8021464;-45.4016876
IDE090;19/05/2019;Show: Virada Cultural 2019;Pitty;Avenida Rio Branco;Avenida Rio Branco;Av. Rio Branco, 347-261 - Campos Elíseos, São Paulo - SP, 01205-000;0;TRUE;Rafaella;-23.5398478;-46.6422409
IDE091;19/05/2019;Show: Virada Cultural 2020;Tuyo;Avenida Cásper Líbero;Avenida Cásper Líbero;Av. Cásper Líbero, 598-678 - Centro Histórico de São Paulo, São Paulo - SP, 01033-001;0;FALSE;Sozinha;-23.5361813;-46.6374705
IDE092;31/05/2019;Show: Duda Beat;Duda Beat;SESC Belenzinho;SESC Belenzinho;R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000;6;FALSE;Sozinha;-23.544764;-46.5838804
IDE093;09/06/2019;Show: Festival Cultura Inglesa 2019;Mad Mothers, Duda Beat e Lily Allen;Memorial da América Latina;Memorial da América Latina;Av. Mário de Andrade, 664 - Barra Funda, São Paulo - SP, 01156-001;0;FALSE;Sozinha;-23.52754145;-46.66547817667370
IDE094;29/06/2019;Show: Silva;Silva;SESC Pq. Dom Pedro;SESC Pq. Dom Pedro;Praça São Vito, s/n - Brás, São Paulo - SP, 03007-030;0;FALSE;Sozinha;-23.5428346;-46.628343
IDE095;30/06/2019;Show: Maglore;Maglore;SESC Vila Mariana;SESC Vila Mariana;R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;9;FALSE;Sozinha;-23.58246865;-46.64409241726080
IDE096;09/07/2019;Show: Francisco, el Hombre;Francisco, el Hombre;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;6;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE097;12/07/2019;Show: Thiago Pethit;Thiago Pethit;SESC Pinheiros;SESC Pinheiros;R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;12;FALSE;Sozinha;-23.5680244;-46.69780334024130
IDE098;13/07/2019;Show: Liniker e os Caramelows;Liniker e os Caramelows;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;9;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE099;18/07/2019;Show: Silva;Silva;Teatro Bradesco;Teatro Bradesco;Rua Palestra Itália, 500 - Loja 263, 3° Piso - Perdizes, 05005-900;70;FALSE;Sozinha;-23.5261736;-46.6804331
IDE100;21/07/2019;Show: Maglore;Maglore;SESC Interlagos;SESC Interlagos;Av. Manuel Alves Soares, 1100 - Parque Colonial, São Paulo - SP, 04821-270;0;FALSE;Sozinha;-23.72572525;-46.67827748774010
